num, ref
49484895, 3280
49484896, 3213
49484897, 3202
49484898, 3206
49484899, 7077
49484900, 7026
49484901, 7014
49484902, 3209
49484903, 3289
49484904, 7015
49484905, 7017
49484906, 3263
49484907, 3284
49484908, 3267
49484909, 7070
49484910, 3208
49484911, 3295
49484912, 3237
49484913, 3217
49484914, 7003
49484919, 420
49484920, 1676
49484921, 1884
49484922, 1728
49484923, 421
49484924, 1832
49484925, 1780
49484926, 8715
49484927, 7290
49484928, 20798
49484937, 20678
49484941, 4723
49484942, 4717
49484943, 4744
49484945, 4706
49484947, 4756
49484948, 4794
49484950, 4716
49484978, 8115
49484979, 8126
49484981, 8116
49484982, 8121
49484983, 8120
49484985, 8124
49484990, 8119
49484991, 7508
49484992, 8123
49484993, 8118
49484995, 8122
49484996, 8127
49484997, 8117
49485069, 4437
49485071, 20028
49485072, 2597
49485073, 4466
49485074, 6135
49485075, 6241
49485076, 6288
49485079, 20057
49485080, 4464
49485084, 4468
49485085, 4400
49485087, 4402
49485088, 4471
49485089, 4416
49485090, 4441
49485091, 4462
49485094, 4438
49485095, 4455
49485190, 5537
49485313, 20036
49485316, 7868
49485322, 7873
49485323, 7758
49485330, 7266
49485331, 7134
49485334, 4859
49485338, 25
49485340, 31
49485342, 33
49485345, 32
49485346, 30
49485350, 7746
49485351, 7788
49485352, 7754
49485353, 7784
49485356, 7764
49485357, 7798
49485360, 7763
49485362, 7785
49485365, 7787
49485366, 7792
49485368, 7757
49485371, 7789
49485615, 20684
49485616, 20289
49485619, 20288
49485620, 20570
49485733, 7536
49485738, 7927
49485760, 20446
49485761, 20371
49485762, 20799
49485765, 10000
49485766, 20224
49485767, 20341
49485768, 20431
49485769, 20311
49485770, 20401
49485772, 20625
49485930, 2004
49485931, 1984
49485934, 1981
49485935, 2071
49485936, 1970
49485937, 1999
49485943, 1890
49485944, 2013
49485949, 1852
49485950, 1823
49485951, 2018
49485953, 1850
49485967, 1829
49485970, 2040
49485972, 1896
49485973, 1833
49485974, 2073
49485975, 2034
49485977, 1838
49485979, 1985
49485994, 1895
49486002, 1988
49486004, 1899
49486013, 2030
49486016, 1991
49486019, 2014
49486020, 1836
49486023, 4103
49486029, 1983
49486030, 1837
49486036, 1997
49486039, 1831
49486041, 1982
49486042, 1898
49486044, 20686
49486047, 1998
49486048, 1834
49486053, 2036
49486054, 1854
49486056, 1986
49486059, 2037
49486065, 2020
49486067, 2032
49486074, 1894
49486080, 1989
49486086, 1987
49486092, 1851
49486097, 1892
49486102, 2019
49486106, 2070
49486107, 2006
49486110, 1990
49486111, 1824
49486114, 2002
49486116, 1830
49486118, 2005
49486121, 1893
49486122, 1826
49486126, 2010
49486130, 4497
49486131, 1891
49486133, 1839
49486136, 1835
49486139, 1825
49486141, 2039
49486142, 2015
49486149, 5349
49486150, 5334
49486157, 5345
49486171, 5365
49486190, 6992
49486222, 5381
49486255, 5363
49486295, 6993
49486359, 9552
49486637, 8341
49486745, 6300
49486746, 8692
49486747, 8691
49486748, 8693
49486750, 6330
49486751, 6316
49486752, 6351
49486753, 6317
49486754, 7995
49486756, 6314
49486757, 8683
49486758, 8670
49486759, 6340
49486760, 6303
49486814, 20695
49486897, 20685
49486933, 4872
49486977, 6560
49486998, 4915
49486999, 4928
49487030, 9747
49487034, 2417
49487046, 6019
49487146, 4885
49487147, 5510
49487148, 5380
49487149, 4337
49487157, 4878
49487163, 5535
49487164, 4519
49487168, 9564
49487169, 9580
49487170, 9577
49487171, 9588
49487172, 9590
49487173, 9591
49487174, 9594
49487175, 9575
49487178, 7401
49487179, 1992
49487180, 9140
49487181, 9858
49487182, 8227
49487183, 3829
49487184, 3830
49487185, 6343
49487186, 9853
49487187, 7413
49487188, 1947
49487190, 7400
49487191, 9893
49487192, 6385
49487193, 9905
49487194, 9198
49487195, 9966
49487196, 6328
49487197, 20414
49487198, 1963
49487199, 9632
49487200, 6398
49487201, 8292
49487202, 7963
49487204, 6301
49487206, 9656
49487207, 4004
49487208, 1957
49487209, 9801
49487210, 9699
49487211, 8206
49487212, 9665
49487213, 7443
49487214, 4015
49487215, 6315
49487216, 9108
49487217, 1980
49487218, 1903
49487219, 8280
49487220, 9990
