num, ref
49510723, 6122
49510728, 7016
49510730, 5294
49510731, 3470
49510733, 5478
49510735, 9326
49510738, 4286
49510740, 8913
49510763, 4052
49510764, 4003
49510788, 9267
49510793, 3976
49510799, 6915
49510803, 986
49510804, 985
49510812, 9616
49510813, 9626
49510822, 9953
49510829, 9954
49510832, 9099
49510834, 9601
49510838, 5573
49510840, 9958
49510873, 5563
49510874, 20588
49510875, 5553
49510877, 20560
49510888, 4364
49510890, 7621
49510896, 5999
49510900, 4026
49510904, 6991
49510905, 4590
49510906, 6912
49510908, 4042
49510909, 4097
49510916, 8817
49510919, 8771
49510926, 5874
49510927, 9963
49510928, 5771
49510931, 3942
49510937, 7059
49510940, 5887
49510956, 3926
49510958, 6365
49510969, 6096
49510971, 7580
49510973, 20093
49510975, 20091
49510976, 20039
49510977, 20054
49510980, 20089
49510984, 20016
49510985, 20040
49510989, 20062
49510994, 20061
49510996, 20059
49511010, 8163
49511011, 3262
49511019, 4992
49511058, 5190
49511070, 2687
49511074, 6805
49511078, 3652
49511079, 4328
49511080, 2688
49511085, 4042
49511087, 4276
49511088, 4224
49511094, 4286
49511095, 3808
49511096, 2689
49511103, 5831
49511104, 4357
49511105, 2685
49511107, 6130
49511108, 4395
49511118, 20963
49511179, 3851
49511180, 3806
49511183, 7225
49511184, 7277
49511189, 3808
49511191, 7245
49511194, 7299
49511199, 7279
49511201, 7230
49511208, 8941
49511214, 7565
49511215, 8969
49511218, 480
49511221, 20936
49511222, 20937
49511225, 20996
49511226, 20997
49511228, 5696
49511229, 5639
49511232, 9099
49511235, 5302
49511301, 20151
49511305, 20181
49511310, 22
49511313, 20140
49511314, 20141
49511315, 20143
49511318, 20124
49511322, 8566
49511352, 20054
49511405, 7451
49511408, 7422
49511409, 7303
49511410, 7450
49511413, 8916
49511417, 20461
49511422, 4212
49511425, 4211
49511434, 4224
49511441, 4204
49511442, 4209
49511443, 8801
49511444, 8721
49511452, 8770
49511453, 8771
49511459, 7250
49511460, 22
49511465, 8993
49511466, 2976
49511467, 2991
49511468, 4395
49511470, 8752
49511483, 5985
49511484, 5995
49511485, 5991
49511491, 20719
49511493, 8964
49511494, 3574
49511497, 5723
49511499, 8892
49511501, 8774
49511502, 5771
49511504, 8775
49511508, 8969
49511514, 20093
49511515, 5988
49511519, 8778
49511522, 3698
49511523, 5997
49511524, 8777
49511525, 7258
49511526, 5986
49511527, 5998
49511528, 8779
49511530, 8773
49511532, 20731
49511533, 8776
49511534, 5987
49511546, 44
49511547, 20412
49511548, 20400
49511549, 67
49511550, 53
49511551, 3656
49511553, 68
49511555, 22
49511557, 20139
49511558, 20498
49511559, 9867
49511561, 9945
49511562, 3670
49511564, 9900
49511565, 4895
49511567, 20457
49511569, 20273
49511571, 20109
49511573, 20209
49511576, 9892
49511577, 20224
49511579, 60
49511582, 24
49511585, 20403
49511586, 9749
49511588, 20034
49511589, 8377
49511591, 1916
49511594, 4054
49511595, 4052
49511598, 7588
49511604, 7654
49511605, 8969
49511617, 2885
49511618, 2585
49511630, 5533
49511631, 5610
49511632, 8847
49511633, 777
49511634, 7430
49511638, 4495
49511639, 7777
49511660, 9082
49511678, 372
49511680, 20140
49511706, 1445
49511734, 1296
49511737, 1220
49511754, 3391
49511755, 8723
49511756, 20315
49511757, 8742
49511759, 20375
49511761, 8725
49511762, 20896
49511763, 8774
49511764, 6499
49511775, 6435
49511780, 7997
49511797, 8802
49511798, 5823
49511805, 5852
49511809, 5813
49511812, 7980
49511815, 5810
49511828, 2396
49511834, 8838
49511835, 8809
49511838, 6013
49511839, 8806
49511840, 6015
49511843, 6016
49511845, 8817
49511846, 7261
49511848, 7289
49511849, 7269
49511881, 9245
49511902, 5842
49511905, 5844
49511906, 5894
49511908, 5835
49511910, 4623
49511911, 5843
49511921, 6794
49511925, 6792
49511926, 6789
49511947, 1208
49511963, 2258
49511965, 4395
49511969, 4139
49511979, 8679
49511983, 786
49512001, 783
49512004, 20644
49512009, 777
49512014, 9705
49512033, 785
49512040, 784
49512067, 8482
49512078, 6201
49512081, 6262
49512089, 6232
49512096, 8133
49512103, 7293
49512104, 7273
49512106, 8723
49512110, 7274
49512113, 7999
49512114, 3976
49512122, 6389
49512124, 8755
49512142, 5823
49512143, 779
49512152, 8483
49512153, 4590
49512154, 4395
49512164, 4594
49512170, 4392
49512176, 4495
49512190, 4616
49512192, 9041
49512193, 7625
49512202, 8757
49512205, 9122
49512207, 4707
49512208, 4709
49512214, 4604
49512223, 9979
49512224, 4139
49512233, 9144
49512240, 4623
49512245, 9418
49512253, 4701
49512315, 6764
49512326, 4787
49512327, 4786
49512366, 1572
49512368, 1571
49512377, 6484
49512388, 5459
49512399, 20354
49512410, 5670
49512426, 1299
49512427, 1206
49512429, 1218
49512462, 9913
49512464, 8684
49512499, 6493
49512504, 5722
49512505, 8061
49512511, 4511
49512512, 4515
49512515, 9283
49512516, 8761
49512517, 4590
49512518, 4500
49512519, 4510
49512527, 4501
49512528, 4513
49512529, 4509
49512532, 6207
49512534, 4503
49512535, 4507
49512536, 4516
49512540, 4514
49512541, 4500
49512542, 4518
49512545, 4512
49512546, 4508
49512549, 4504
49512550, 4506
49512551, 4502
49512559, 9435
49512576, 9433
49512580, 9434
49512586, 7852
49512640, 7201
49512641, 4160
49512642, 7229
49512643, 4162
49512656, 3924
49512673, 8827
49512682, 6236
49512689, 8771
49512693, 20463
49512694, 7634
49512709, 5190
49512710, 8052
49512712, 5105
49512716, 8061
49512732, 8761
49512743, 4493
